salesperson,transaction_count,total_sales,average_sale_price,total_commission,average_commission_rate,first_sale_date,last_sale_date
Tammy Vaughn,1,35061.0,35061.0,2106.21,0.0601,2022-07-21,2022-07-21
Michele Harris,1,35061.0,35061.0,3079.96,0.0878,2022-10-18,2022-10-18
Joshua Orr,1,35061.0,35061.0,3320.1,0.0947,2023-04-24,2023-04-24
Emma Short,1,35060.0,35060.0,4070.42,0.1161,2023-04-21,2023-04-21
Robert Watkins,1,35060.0,35060.0,5027.93,0.1434,2022-08-01,2022-08-01
Dana David,1,35059.0,35059.0,3493.24,0.0996,2023-04-29,2023-04-29
Ms. Tonya Wallace,1,35059.0,35059.0,3402.61,0.0971,2022-09-11,2022-09-11
Hayley Jones,1,35059.0,35059.0,2934.76,0.0837,2022-12-09,2022-12-09
Timothy Mason,1,35058.0,35058.0,2335.95,0.0666,2022-11-17,2022-11-17
Cynthia West,1,35058.0,35058.0,4817.49,0.1374,2022-07-08,2022-07-08
Harold Lee,1,35057.0,35057.0,3835.39,0.1094,2023-04-05,2023-04-05
Amber Huffman,1,35055.0,35055.0,5122.25,0.1461,2022-12-09,2022-12-09
Sonya Harris,1,35053.0,35053.0,3673.92,0.1048,2022-10-27,2022-10-27
Alyssa Clark,1,35053.0,35053.0,1829.7,0.0522,2022-08-16,2022-08-16
Erin Pierce,1,35053.0,35053.0,2876.98,0.0821,2023-01-15,2023-01-15
Laura Grimes,1,35053.0,35053.0,3322.19,0.0948,2022-07-27,2022-07-27
Leslie Guerrero,1,35051.0,35051.0,4082.83,0.1165,2022-12-19,2022-12-19
Debra Velez,1,35048.0,35048.0,3902.38,0.1113,2022-09-06,2022-09-06
Lee Jefferson,1,35047.0,35047.0,4789.01,0.1366,2022-12-17,2022-12-17
Shane Mitchell,1,35047.0,35047.0,2959.81,0.0845,2022-08-20,2022-08-20
Alyssa Barnett,1,35045.0,35045.0,4351.9,0.1242,2022-11-15,2022-11-15
Latoya Coleman,1,35044.0,35044.0,2933.74,0.0837,2022-09-30,2022-09-30
Christopher Bender,1,35043.0,35043.0,4708.51,0.1344,2023-04-11,2023-04-11
Angela Russo,1,35043.0,35043.0,5094.22,0.1454,2022-06-22,2022-06-22
Amanda Pope,1,35041.0,35041.0,5062.7,0.1445,2023-03-18,2023-03-18
Douglas Coffey,1,35041.0,35041.0,1997.93,0.057,2022-12-31,2022-12-31
Stephanie Mitchell,1,35040.0,35040.0,4559.61,0.1301,2022-12-19,2022-12-19
Mrs. Sarah Hall,1,35039.0,35039.0,4886.46,0.1395,2022-09-11,2022-09-11
Matthew Huang,1,35038.0,35038.0,2587.37,0.0738,2022-08-25,2022-08-25
Mr. Gary Carlson,1,35037.0,35037.0,2767.88,0.079,2022-11-09,2022-11-09
Steven Bray,1,35035.0,35035.0,3142.41,0.0897,2022-05-20,2022-05-20
Steven Walls,1,35034.0,35034.0,4961.08,0.1416,2023-04-08,2023-04-08
Christine Baker,1,35034.0,35034.0,1763.14,0.0503,2022-05-28,2022-05-28
Ariana Hayes,1,35032.0,35032.0,2466.79,0.0704,2022-06-23,2022-06-23
Rachel Hickman,1,35031.0,35031.0,3640.35,0.1039,2022-11-27,2022-11-27
Brent Lopez,1,35030.0,35030.0,3229.0,0.0922,2022-11-27,2022-11-27
Lori Nixon,1,35029.0,35029.0,5029.47,0.1436,2023-04-11,2023-04-11
Dr. Brian Rodriguez,1,35029.0,35029.0,4685.59,0.1338,2022-09-21,2022-09-21
Scott Morris,1,35027.0,35027.0,4569.36,0.1305,2022-09-30,2022-09-30
Raymond Gillespie,1,35027.0,35027.0,4947.71,0.1413,2022-11-21,2022-11-21
Edward Ellis,1,35026.0,35026.0,3205.51,0.0915,2022-08-01,2022-08-01
Cynthia Griffin,1,35025.0,35025.0,2381.21,0.068,2022-05-17,2022-05-17
Maria Woods,1,35023.0,35023.0,3601.94,0.1028,2022-12-08,2022-12-08
Nicholas Henderson,1,35021.0,35021.0,3446.64,0.0984,2022-10-04,2022-10-04
Alexandria Pineda,1,35019.0,35019.0,3883.56,0.1109,2022-07-22,2022-07-22
Kelli Ramirez,1,35015.0,35015.0,3230.22,0.0923,2022-09-04,2022-09-04
Brianna Clark,1,35012.0,35012.0,1891.93,0.054,2022-11-21,2022-11-21
Gary Gay,1,35011.0,35011.0,1899.65,0.0543,2022-11-09,2022-11-09
Katherine Leach,1,35010.0,35010.0,2554.12,0.073,2022-10-04,2022-10-04
Robert Zavala,2,35010.0,17505.0,3601.88,0.1024,2022-09-30,2023-04-24
Jesus Stewart,1,35009.0,35009.0,4074.94,0.1164,2023-04-29,2023-04-29
Amanda Stark,1,35009.0,35009.0,4945.97,0.1413,2022-07-27,2022-07-27
Julia Fields,1,35007.0,35007.0,5069.65,0.1448,2022-12-04,2022-12-04
Erika Rodriguez,1,35007.0,35007.0,2468.02,0.0705,2023-03-20,2023-03-20
Jacqueline Moore,1,35006.0,35006.0,2068.98,0.0591,2022-11-25,2022-11-25
Alicia Cooper,1,35004.0,35004.0,4335.71,0.1239,2022-09-06,2022-09-06
Paul Watson,1,35003.0,35003.0,2890.5,0.0826,2022-11-18,2022-11-18
Ronald Woodard,1,35003.0,35003.0,2239.21,0.064,2022-10-01,2022-10-01
Debbie Smith,1,35002.0,35002.0,2455.29,0.0701,2022-05-07,2022-05-07
Scott Cantrell,1,35002.0,35002.0,3730.83,0.1066,2022-11-02,2022-11-02
Crystal Chavez,1,35001.0,35001.0,3821.7,0.1092,2023-01-08,2023-01-08
Tonya Jackson,1,35001.0,35001.0,2704.49,0.0773,2022-10-07,2022-10-07
Cheryl Lopez MD,1,34999.0,34999.0,3982.08,0.1138,2022-05-12,2022-05-12
Samantha Buck,1,34998.0,34998.0,4156.5,0.1188,2022-09-22,2022-09-22
Alexa Hess,1,34997.0,34997.0,3490.76,0.0997,2022-11-23,2022-11-23
Ann Rodriguez,1,34997.0,34997.0,3184.1,0.091,2022-06-10,2022-06-10
Christina Lopez,1,34992.0,34992.0,2338.88,0.0668,2022-09-13,2022-09-13
Mary Moore DDS,1,34992.0,34992.0,2468.68,0.0705,2023-02-06,2023-02-06
Nathan Spencer,1,34991.0,34991.0,4554.91,0.1302,2022-06-03,2022-06-03
Hannah Long,1,34990.0,34990.0,3894.11,0.1113,2023-01-10,2023-01-10
Martin Morris,1,34990.0,34990.0,2412.56,0.0689,2022-09-07,2022-09-07
Glenda Taylor,1,34989.0,34989.0,3632.56,0.1038,2022-11-03,2022-11-03
Ronald Guerrero,1,34988.0,34988.0,2172.65,0.0621,2022-09-05,2022-09-05
Kevin Beasley,1,34988.0,34988.0,4998.88,0.1429,2023-04-07,2023-04-07
Jamie Wilson,1,34987.0,34987.0,4474.37,0.1279,2022-05-31,2022-05-31
Elaine Riley,1,34987.0,34987.0,4061.24,0.1161,2022-07-28,2022-07-28
Christina Collier,1,34987.0,34987.0,4205.79,0.1202,2022-10-15,2022-10-15
April Pham,1,34986.0,34986.0,3616.37,0.1034,2022-06-09,2022-06-09
Donald Downs,1,34985.0,34985.0,1774.1,0.0507,2023-04-01,2023-04-01
April Warren,1,34983.0,34983.0,4668.25,0.1334,2022-07-07,2022-07-07
Madeline Serrano,1,34980.0,34980.0,1813.78,0.0519,2022-09-30,2022-09-30
Katie Gomez,1,34980.0,34980.0,3880.94,0.1109,2022-08-10,2022-08-10
Alexander Morton,1,34980.0,34980.0,4577.27,0.1309,2023-04-14,2023-04-14
Maria Briggs,1,34979.0,34979.0,4632.42,0.1324,2022-06-28,2022-06-28
Tiffany Hernandez,1,34978.0,34978.0,2212.4,0.0633,2023-04-08,2023-04-08
Ryan Hicks,1,34978.0,34978.0,3386.4,0.0968,2022-09-17,2022-09-17
Joshua Phillips,2,34973.0,17486.5,4226.53,0.1113,2023-01-02,2023-03-09
Susan Villa,1,34970.0,34970.0,4623.14,0.1322,2022-10-24,2022-10-24
Rodney Lindsey,1,34968.0,34968.0,2030.56,0.0581,2022-11-28,2022-11-28
Lisa Hurley,1,34968.0,34968.0,2094.16,0.0599,2022-09-03,2022-09-03
Gabriel Vega,1,34966.0,34966.0,3244.9,0.0928,2023-03-09,2023-03-09
William Hardin,1,34962.0,34962.0,2269.28,0.0649,2022-06-11,2022-06-11
Tonya Moore,1,34962.0,34962.0,1819.96,0.0521,2023-02-27,2023-02-27
Gina Myers,1,34961.0,34961.0,4632.88,0.1325,2022-10-12,2022-10-12
Madison Singh,1,34961.0,34961.0,4276.51,0.1223,2022-10-11,2022-10-11
Mr. Philip Burke MD,1,34960.0,34960.0,4793.26,0.1371,2022-06-29,2022-06-29
Robin Hill,1,34960.0,34960.0,1905.42,0.0545,2023-02-23,2023-02-23
Toni Brown,1,34960.0,34960.0,4501.56,0.1288,2022-09-13,2022-09-13
Catherine Barber,1,34959.0,34959.0,2362.02,0.0676,2022-11-12,2022-11-12
Melissa Schroeder,1,34959.0,34959.0,4773.54,0.1365,2022-05-16,2022-05-16
Tina Rodriguez,1,34958.0,34958.0,4239.95,0.1213,2023-01-06,2023-01-06
Gregory White,1,34958.0,34958.0,2563.13,0.0733,2022-11-05,2022-11-05
Aaron Fernandez,1,34958.0,34958.0,3379.14,0.0967,2022-06-29,2022-06-29
Corey Mcdonald,1,34957.0,34957.0,3897.42,0.1115,2023-02-01,2023-02-01
Caleb Vaughan DVM,1,34956.0,34956.0,4519.69,0.1293,2022-12-30,2022-12-30
Tammy Stark,1,34955.0,34955.0,3612.76,0.1034,2022-12-14,2022-12-14
Kaitlyn Barber,1,34952.0,34952.0,4703.69,0.1346,2022-10-10,2022-10-10
Virginia Brennan,1,34950.0,34950.0,4742.91,0.1357,2022-12-01,2022-12-01
Ronald Walton,1,34949.0,34949.0,5174.81,0.1481,2022-06-29,2022-06-29
Megan Schwartz MD,1,34949.0,34949.0,3630.01,0.1039,2023-03-12,2023-03-12
Manuel Gray,1,34947.0,34947.0,3865.12,0.1106,2022-05-23,2022-05-23
Brandon Walton,1,34941.0,34941.0,3048.68,0.0873,2022-05-12,2022-05-12
Garrett Gordon,1,34940.0,34940.0,3966.97,0.1135,2023-02-27,2023-02-27
Brandy Frazier,1,34939.0,34939.0,4141.31,0.1185,2022-07-06,2022-07-06
Brooke Jackson,1,34938.0,34938.0,3204.94,0.0917,2022-12-11,2022-12-11
Clifford Morton,1,34937.0,34937.0,3127.26,0.0895,2023-04-09,2023-04-09
Jacob Ford,1,34936.0,34936.0,4523.9,0.1295,2023-01-16,2023-01-16
Jonathan Chen,1,34935.0,34935.0,3219.82,0.0922,2022-07-11,2022-07-11
Christopher Myers,1,34934.0,34934.0,4483.9,0.1284,2022-09-12,2022-09-12
Bradley Stanton,1,34934.0,34934.0,3917.13,0.1121,2022-06-27,2022-06-27
Carmen Hunter,1,34934.0,34934.0,1769.8,0.0507,2023-04-27,2023-04-27
Roberta Fernandez,1,34933.0,34933.0,2036.21,0.0583,2023-04-03,2023-04-03
Jimmy Baker,1,34933.0,34933.0,4496.25,0.1287,2022-08-28,2022-08-28
Savannah Hill,1,34931.0,34931.0,3741.03,0.1071,2022-12-07,2022-12-07
Sean Franklin,1,34929.0,34929.0,4496.59,0.1287,2022-10-31,2022-10-31
Jared Porter,1,34928.0,34928.0,4997.24,0.1431,2022-06-04,2022-06-04
Angela Wolfe,1,34928.0,34928.0,3973.13,0.1138,2022-07-09,2022-07-09
Shannon Powell,2,34927.0,17463.5,3007.53,0.0864,2022-05-29,2022-10-12
Beverly Munoz,1,34926.0,34926.0,3320.3,0.0951,2023-01-07,2023-01-07
Kara Perkins,1,34926.0,34926.0,4306.35,0.1233,2022-11-06,2022-11-06
Garrett Adkins,1,34925.0,34925.0,4784.1,0.137,2023-02-27,2023-02-27
Joshua Rice,1,34924.0,34924.0,5160.68,0.1478,2023-03-26,2023-03-26
Matthew Callahan,1,34923.0,34923.0,3200.77,0.0917,2023-02-21,2023-02-21
Antonio Ramirez,1,34921.0,34921.0,2463.45,0.0705,2022-08-11,2022-08-11
Curtis Cole,1,34920.0,34920.0,4496.43,0.1288,2023-03-18,2023-03-18
Brian Griffin III,1,34919.0,34919.0,2957.12,0.0847,2022-09-09,2022-09-09
Jennifer Quinn,1,34918.0,34918.0,5132.88,0.147,2023-01-16,2023-01-16
Shannon Edwards,1,34918.0,34918.0,2041.24,0.0585,2022-10-10,2022-10-10
Mark Richardson,1,34917.0,34917.0,4598.79,0.1317,2022-09-25,2022-09-25
Jeremy Allen,1,34913.0,34913.0,3712.52,0.1063,2023-04-15,2023-04-15
Lindsey Reynolds,1,34913.0,34913.0,2302.0,0.0659,2022-07-06,2022-07-06
David Frye,1,34911.0,34911.0,3128.01,0.0896,2023-01-09,2023-01-09
Monica Dennis,1,34910.0,34910.0,3666.73,0.105,2022-05-01,2022-05-01
Catherine Martinez,1,34909.0,34909.0,4393.29,0.1258,2022-06-05,2022-06-05
Blake Oconnell,1,34907.0,34907.0,4456.03,0.1277,2023-02-19,2023-02-19
Alison Banks,1,34906.0,34906.0,2162.28,0.0619,2022-08-05,2022-08-05
Ricky Carpenter,1,34906.0,34906.0,4046.9,0.1159,2023-01-22,2023-01-22
Brenda Hebert,1,34903.0,34903.0,2701.08,0.0774,2023-02-07,2023-02-07
Denise Taylor PhD,1,34902.0,34902.0,1857.41,0.0532,2023-02-04,2023-02-04
Kayla Cardenas,1,34901.0,34901.0,5182.78,0.1485,2023-03-11,2023-03-11
Margaret Ford,1,34899.0,34899.0,2828.41,0.081,2022-12-30,2022-12-30
Krystal Green,1,34899.0,34899.0,3744.97,0.1073,2022-05-01,2022-05-01
Rachel Price MD,1,34898.0,34898.0,4716.37,0.1351,2022-10-30,2022-10-30
Sheryl Berry,1,34896.0,34896.0,4407.03,0.1263,2022-05-02,2022-05-02
Aaron Glass,1,34895.0,34895.0,3185.13,0.0913,2022-12-18,2022-12-18
Adam Miller,1,34895.0,34895.0,2961.23,0.0849,2022-05-15,2022-05-15
Judith Chan,1,34895.0,34895.0,1895.72,0.0543,2022-07-11,2022-07-11
John Kerr,1,34894.0,34894.0,1983.72,0.0568,2022-12-15,2022-12-15
Jonathan Houston,1,34893.0,34893.0,3303.9,0.0947,2022-09-07,2022-09-07
Collin Floyd,1,34892.0,34892.0,1970.05,0.0565,2022-05-12,2022-05-12
Richard Hanson,1,34891.0,34891.0,2276.88,0.0653,2022-06-15,2022-06-15
Ashley Bartlett,1,34889.0,34889.0,2518.32,0.0722,2022-05-04,2022-05-04
Robin Jensen,1,34888.0,34888.0,4124.29,0.1182,2023-04-16,2023-04-16
Marcia Jones,1,34888.0,34888.0,2807.5,0.0805,2023-05-01,2023-05-01
Roberto Colon,1,34887.0,34887.0,4526.86,0.1298,2022-07-08,2022-07-08
Rhonda Turner,2,34884.0,17442.0,3612.81,0.0997,2022-11-28,2023-02-09
Sharon Mclean,1,34882.0,34882.0,4391.71,0.1259,2022-10-18,2022-10-18
Patricia Meyer,1,34882.0,34882.0,4217.2,0.1209,2022-09-07,2022-09-07
Cassie Walker,1,34881.0,34881.0,1784.6,0.0512,2022-09-17,2022-09-17
Justin Mitchell,1,34880.0,34880.0,1759.39,0.0504,2023-03-07,2023-03-07
Daniel Rodriguez,2,34880.0,17440.0,3944.79,0.114,2022-07-08,2022-09-22
Lauren Miller,2,34880.0,17440.0,3053.01,0.0882,2022-09-07,2022-11-06
Darrell Perry,1,34875.0,34875.0,3628.02,0.104,2022-07-06,2022-07-06
Lisa Carrillo,1,34874.0,34874.0,3993.97,0.1145,2022-06-16,2022-06-16
Candace Trevino,1,34874.0,34874.0,3528.66,0.1012,2022-10-08,2022-10-08
William Cobb,1,34874.0,34874.0,5199.62,0.1491,2023-01-03,2023-01-03
Catherine Henderson,1,34872.0,34872.0,5126.66,0.147,2022-11-18,2022-11-18
Christina Miller MD,1,34872.0,34872.0,4851.71,0.1391,2022-12-16,2022-12-16
Jermaine Fischer,1,34868.0,34868.0,4278.01,0.1227,2022-06-17,2022-06-17
Alexis Shannon,1,34868.0,34868.0,4698.71,0.1348,2022-12-08,2022-12-08
Whitney Banks,1,34868.0,34868.0,4349.79,0.1248,2023-04-21,2023-04-21
Kristin Vincent,1,34867.0,34867.0,1957.42,0.0561,2022-09-11,2022-09-11
Stefanie Howell,1,34867.0,34867.0,4116.35,0.1181,2022-10-06,2022-10-06
Kelli Woods,1,34867.0,34867.0,2686.61,0.0771,2022-09-16,2022-09-16
Roger Brown,1,34867.0,34867.0,3596.39,0.1031,2022-11-25,2022-11-25
Samantha Lester,1,34866.0,34866.0,2345.59,0.0673,2023-03-12,2023-03-12
Valerie Wells,1,34865.0,34865.0,3633.02,0.1042,2022-10-09,2022-10-09
Michael Brock,1,34863.0,34863.0,2846.7,0.0817,2022-07-09,2022-07-09
Richard Evans,1,34863.0,34863.0,4838.62,0.1388,2023-04-17,2023-04-17
Jonathan Dillon,1,34861.0,34861.0,3900.29,0.1119,2023-04-18,2023-04-18
Heather Farmer,1,34861.0,34861.0,3189.41,0.0915,2022-05-02,2022-05-02
Troy Gonzales,1,34859.0,34859.0,3808.23,0.1092,2022-08-26,2022-08-26
Jennifer Love,1,34859.0,34859.0,5048.08,0.1448,2022-11-25,2022-11-25
Karen Wagner,1,34858.0,34858.0,2405.72,0.069,2022-12-27,2022-12-27
Crystal Walsh,1,34858.0,34858.0,1849.76,0.0531,2023-01-22,2023-01-22
Dustin Chandler,1,34857.0,34857.0,3293.5,0.0945,2023-03-18,2023-03-18
Shelly Duke,1,34856.0,34856.0,4665.86,0.1339,2022-08-27,2022-08-27
Stephanie Savage,1,34854.0,34854.0,4750.09,0.1363,2023-04-11,2023-04-11
Peggy Durham,1,34854.0,34854.0,3057.31,0.0877,2022-06-09,2022-06-09
Michelle Walters,1,34852.0,34852.0,3566.4,0.1023,2022-09-05,2022-09-05
Hailey Sanders,1,34852.0,34852.0,2567.18,0.0737,2022-12-21,2022-12-21
Rachel Wood,1,34851.0,34851.0,2420.72,0.0695,2022-08-31,2022-08-31
Jordan Hodges,1,34847.0,34847.0,2074.53,0.0595,2022-05-27,2022-05-27
Kyle Russo,1,34847.0,34847.0,3126.31,0.0897,2022-12-23,2022-12-23
Kathleen Price,1,34845.0,34845.0,3366.3,0.0966,2022-12-20,2022-12-20
Betty Bates,1,34844.0,34844.0,4379.51,0.1257,2023-01-15,2023-01-15
Sandra Richards,1,34843.0,34843.0,3047.67,0.0875,2022-12-11,2022-12-11
Traci Kirk,1,34839.0,34839.0,3517.58,0.101,2022-10-03,2022-10-03
Maria Griffith,1,34838.0,34838.0,3841.35,0.1103,2022-09-10,2022-09-10
Catherine Frye,1,34836.0,34836.0,4579.68,0.1315,2022-09-06,2022-09-06
Donna Evans,1,34835.0,34835.0,2899.23,0.0832,2022-06-21,2022-06-21
Felicia Erickson,1,34835.0,34835.0,4179.87,0.12,2022-11-25,2022-11-25
Edward Rogers,1,34834.0,34834.0,2984.45,0.0857,2022-08-21,2022-08-21
Stuart Brown,1,34834.0,34834.0,4527.66,0.13,2023-04-07,2023-04-07
Christina Montgomery,1,34832.0,34832.0,2055.31,0.059,2023-04-15,2023-04-15
Donald Lozano,1,34830.0,34830.0,4477.54,0.1286,2022-07-31,2022-07-31
Jackson Anderson,1,34830.0,34830.0,4609.0,0.1323,2023-02-02,2023-02-02
Michael Whitney,1,34830.0,34830.0,4146.9,0.1191,2022-09-26,2022-09-26
Michael Newton DDS,1,34827.0,34827.0,3046.36,0.0875,2022-08-06,2022-08-06
Carmen Wiggins,1,34827.0,34827.0,4861.49,0.1396,2023-02-16,2023-02-16
Sara Wood,1,34827.0,34827.0,4207.17,0.1208,2022-11-30,2022-11-30
Luke Christian,1,34825.0,34825.0,3405.89,0.0978,2022-10-31,2022-10-31
Margaret Davenport,1,34824.0,34824.0,2802.32,0.0805,2022-12-09,2022-12-09
Donald Stevenson,1,34822.0,34822.0,3124.78,0.0897,2022-08-31,2022-08-31
Toni Garcia,1,34822.0,34822.0,5049.45,0.145,2023-03-04,2023-03-04
Morgan Rodriguez,1,34822.0,34822.0,1850.15,0.0531,2023-02-01,2023-02-01
Emily Gonzalez,1,34820.0,34820.0,5048.26,0.145,2022-09-02,2022-09-02
Ariana Stone,1,34820.0,34820.0,5181.84,0.1488,2022-11-07,2022-11-07
Tanya Davenport,1,34819.0,34819.0,2382.36,0.0684,2023-04-23,2023-04-23
Daniel Petersen III,1,34818.0,34818.0,2451.85,0.0704,2023-04-18,2023-04-18
Hannah Jacobson,1,34816.0,34816.0,4944.23,0.142,2022-06-01,2022-06-01
Makayla Rodriguez,1,34816.0,34816.0,4728.63,0.1358,2023-02-18,2023-02-18
Zachary Maldonado,1,34815.0,34815.0,4388.15,0.126,2023-01-03,2023-01-03
Michelle Soto,1,34814.0,34814.0,4443.44,0.1276,2022-06-30,2022-06-30
Andrea Cervantes,1,34814.0,34814.0,4233.8,0.1216,2023-04-24,2023-04-24
Scott Beard,1,34814.0,34814.0,2467.76,0.0709,2023-01-31,2023-01-31
Ronnie Lewis,1,34809.0,34809.0,3057.67,0.0878,2022-10-04,2022-10-04
Wyatt Gonzales MD,1,34808.0,34808.0,3903.58,0.1121,2023-03-14,2023-03-14
Lauren Roberts,1,34807.0,34807.0,3117.6,0.0896,2022-11-16,2022-11-16
Patrick Clarke,1,34807.0,34807.0,2372.52,0.0682,2023-01-04,2023-01-04
Veronica Diaz,1,34807.0,34807.0,5046.87,0.145,2022-10-25,2022-10-25
Adam Henderson DVM,1,34807.0,34807.0,2918.5,0.0838,2022-12-01,2022-12-01
Jordan Willis,1,34806.0,34806.0,3059.74,0.0879,2022-05-29,2022-05-29
Mr. Nathan Hernandez,1,34803.0,34803.0,4593.38,0.132,2022-12-28,2022-12-28
Kimberly Cannon,1,34803.0,34803.0,2887.0,0.083,2023-01-11,2023-01-11
Tara Lopez,1,34802.0,34802.0,3420.11,0.0983,2022-09-12,2022-09-12
Leslie Patterson,1,34802.0,34802.0,3404.92,0.0978,2022-08-02,2022-08-02
Renee Edwards DDS,1,34802.0,34802.0,2006.58,0.0577,2022-09-21,2022-09-21
Bailey Allison,1,34802.0,34802.0,3729.18,0.1072,2022-05-18,2022-05-18
Alexander Weber,1,34799.0,34799.0,2673.28,0.0768,2022-08-22,2022-08-22
Christina Gonzales,1,34799.0,34799.0,2500.58,0.0719,2022-09-19,2022-09-19
Peter Walker,1,34794.0,34794.0,4657.37,0.1339,2023-04-29,2023-04-29
Gabriel Cruz,1,34794.0,34794.0,5201.59,0.1495,2022-09-17,2022-09-17
Ashley Nguyen,1,34793.0,34793.0,2448.81,0.0704,2022-08-06,2022-08-06
Timothy Arias,1,34792.0,34792.0,2495.93,0.0717,2023-01-22,2023-01-22
Marcus Booker,1,34788.0,34788.0,4325.17,0.1243,2022-07-06,2022-07-06
Stephen Larson,1,34788.0,34788.0,4321.8,0.1242,2022-07-28,2022-07-28
Sharon Howard,1,34788.0,34788.0,4619.18,0.1328,2022-08-04,2022-08-04
Annette White,1,34788.0,34788.0,4196.3,0.1206,2022-07-01,2022-07-01
Meagan Solis,1,34786.0,34786.0,4325.94,0.1244,2022-06-23,2022-06-23
Daniel Kim,1,34784.0,34784.0,3263.65,0.0938,2022-08-15,2022-08-15
Catherine Hansen,1,34783.0,34783.0,1940.82,0.0558,2023-03-15,2023-03-15
Sarah Ruiz,1,34783.0,34783.0,3539.54,0.1018,2023-03-10,2023-03-10
Michael Walker MD,1,34781.0,34781.0,4922.92,0.1415,2023-01-26,2023-01-26
William Bass,1,34781.0,34781.0,3461.13,0.0995,2022-05-21,2022-05-21
Elizabeth Griffith,1,34781.0,34781.0,4243.32,0.122,2023-02-07,2023-02-07
Cynthia Hurley,1,34781.0,34781.0,3322.31,0.0955,2022-11-11,2022-11-11
Rhonda Walters,1,34777.0,34777.0,2882.39,0.0829,2022-08-13,2022-08-13
Stacey Grant,1,34776.0,34776.0,1821.57,0.0524,2022-08-02,2022-08-02
Victoria Reynolds,1,34776.0,34776.0,4532.07,0.1303,2022-10-01,2022-10-01
Wendy Osborne,1,34775.0,34775.0,4779.65,0.1374,2022-09-18,2022-09-18
Barry Banks,1,34775.0,34775.0,4537.98,0.1305,2022-12-22,2022-12-22
Amanda Suarez,1,34774.0,34774.0,3742.91,0.1076,2023-02-21,2023-02-21
Mrs. Kristen Hess,1,34774.0,34774.0,4242.52,0.122,2023-03-01,2023-03-01
Austin Johnson,1,34773.0,34773.0,3511.51,0.101,2023-03-31,2023-03-31
Alexa Wallace,1,34773.0,34773.0,2472.48,0.0711,2023-04-11,2023-04-11
Pam Wilson,1,34773.0,34773.0,3546.26,0.102,2022-06-23,2022-06-23
Wesley Young,1,34773.0,34773.0,4490.1,0.1291,2023-04-05,2023-04-05
James Bauer,1,34773.0,34773.0,2595.13,0.0746,2022-08-26,2022-08-26
Kara Hall,1,34772.0,34772.0,4014.52,0.1155,2022-11-02,2022-11-02
David Fox,2,34768.0,17384.0,2291.8,0.0666,2022-07-22,2022-09-15
Jose Dennis,1,34768.0,34768.0,4143.0,0.1192,2022-06-01,2022-06-01
Christopher Jimenez,1,34768.0,34768.0,4613.64,0.1327,2022-05-31,2022-05-31
Corey Smith,1,34768.0,34768.0,4196.37,0.1207,2022-10-07,2022-10-07
Todd Kerr,1,34767.0,34767.0,3848.09,0.1107,2023-03-25,2023-03-25
Morgan Robbins,1,34767.0,34767.0,5112.32,0.147,2023-04-27,2023-04-27
Jamie Chapman,1,34767.0,34767.0,4829.37,0.1389,2022-12-17,2022-12-17
Allen Washington,1,34766.0,34766.0,1890.05,0.0544,2023-01-14,2023-01-14
Caleb Douglas,1,34766.0,34766.0,4974.86,0.1431,2022-11-14,2022-11-14
Daniel Howard,2,34766.0,17383.0,3043.03,0.0874,2022-05-03,2023-02-27
Eric Brennan,1,34765.0,34765.0,2162.1,0.0622,2022-12-22,2022-12-22
Craig Morales,1,34765.0,34765.0,2519.47,0.0725,2022-11-22,2022-11-22
Alison Perry,1,34764.0,34764.0,2233.71,0.0643,2022-05-08,2022-05-08
Dr. Christopher Watkins,1,34763.0,34763.0,2376.76,0.0684,2023-02-27,2023-02-27
Dawn Roth,1,34763.0,34763.0,4807.96,0.1383,2022-12-07,2022-12-07
Sierra Durham,1,34762.0,34762.0,4711.09,0.1355,2022-09-29,2022-09-29
Emily Lowery,1,34761.0,34761.0,4037.48,0.1161,2022-10-16,2022-10-16
Keith Cook,1,34760.0,34760.0,3471.3,0.0999,2022-05-07,2022-05-07
Margaret Church,1,34760.0,34760.0,1826.65,0.0526,2022-11-06,2022-11-06
Robin Nolan,1,34760.0,34760.0,4774.39,0.1374,2022-10-09,2022-10-09
Michael Good,1,34760.0,34760.0,4843.81,0.1394,2022-08-18,2022-08-18
Mary Chase,1,34758.0,34758.0,2493.74,0.0717,2023-02-12,2023-02-12
Eric Fox,1,34756.0,34756.0,3376.13,0.0971,2022-09-19,2022-09-19
Maurice Williams,1,34755.0,34755.0,4873.37,0.1402,2023-03-23,2023-03-23
Brian Berry,1,34754.0,34754.0,3582.61,0.1031,2023-02-24,2023-02-24
Dana Todd,1,34752.0,34752.0,4468.33,0.1286,2023-01-16,2023-01-16
William Owen,1,34751.0,34751.0,3171.67,0.0913,2022-10-15,2022-10-15
Phillip Cohen,1,34751.0,34751.0,2308.17,0.0664,2022-07-14,2022-07-14
Robin Klein,1,34749.0,34749.0,4056.97,0.1168,2022-08-08,2022-08-08
Devin Gibson,1,34747.0,34747.0,3100.79,0.0892,2022-11-23,2022-11-23
Monica Davidson,1,34746.0,34746.0,4086.29,0.1176,2022-10-04,2022-10-04
Donna Neal,1,34744.0,34744.0,3119.52,0.0898,2022-12-18,2022-12-18
Jerry Johnson,1,34743.0,34743.0,4491.87,0.1293,2022-06-26,2022-06-26
Karen Brock,1,34741.0,34741.0,2724.05,0.0784,2023-02-11,2023-02-11
